Gene	"Gene synonym"	Uniprot
A2ML1	"CPAMD9, FLJ25179, p170"	A8K2U0
AAAS		Q9NRG9
AAGAB	"FLJ11506, p34"	Q6PD74
AARS1	"AARS, AlaRS, CMT2N"	P49588
AARS2	"AARSL, bA444E17.1, KIAA1270"	Q5JTZ9
AASS	"LKRSDH, LORSDH"	Q9UDR5
ABAT	"GABA-T, GABAT"	P80404
ABCA1	"ABC1, HDLDT1, TGD"	O95477
ABCA12	"DKFZP434G232, ICR2B, LI2"	Q86UK0
ABCA2	ABC2	Q9BZC7
ABCA3	"ABC-C, ABC3, EST111653, LBM180"	Q99758
ABCA4	"ABCR, ARMD2, CORD3, FFM, RP19, STGD, STGD1"	P78363
ABCA7	ABCX	Q8IZY2
ABCB1	"ABC20, CD243, CLCS, GP170, MDR1, p-170, P-gp, PGY1"	P08183
ABCB11	"ABC16, BSEP, PFIC-2, PFIC2, PGY4, SPGP"	O95342
ABCB4	"GBD1, MDR2, MDR3, PFIC-3, PGY3"	P21439
ABCB6	"EST45597, MTABC3, umat"	Q9NP58
ABCB7	"ABC7, ASAT, Atm1p, EST140535"	O75027
ABCC1	"GS-X, MRP, MRP1"	P33527
ABCC2	"CMOAT, cMRP, DJS, MRP2"	Q92887
ABCC6	"ARA, EST349056, MLP1, MRP6, PXE, URG7"	O95255
ABCC8	"ABC36, HHF1, HI, HRINS, MRP8, PHHI, SUR, SUR1, TNDM2"	Q09428
ABCC9	"CMD1O, SUR2"	O60706
ABCD1	"adrenoleukodystrophy, ALD, ALDP, AMN"	P33897
ABCD3	"PMP70, PXMP1, ZWS2"	P28288
ABCD4	"EST352188, P70R, PMP69, PXMP1L"	O14678
ABCG5	STSL	Q9H222
ABCG8	GBD4	Q9H221
ABHD11	"PP1226, WBSCR21"	Q8NFV4
ABHD12	"ABHD12A, BEM46L2, C20orf22, dJ965G21.2, DKFZP434P106"	Q8N2K0
ABHD16A	"BAT5, D6S82E, NG26"	O95870
ABHD5	"CGI-58, NCIE2"	Q8WTS1
ABI1	"ABI-1, E3B1, SSH3BP1"	Q8IZP0
