Prot_A,Prot_B,Interaction_score,Disease
DRD4,LEP,0.457,Alzheimer's Disease
DRD4,CPX-2175,0.509,Alzheimer's Disease
DRD4,SRC,0.559,Alzheimer's Disease
DRD4,GNAL,0.594,Alzheimer's Disease
DRD4,CPX-8432,0.741,Alzheimer's Disease
DRD4,GNB4,0.741,Alzheimer's Disease
DRD4,GNB2,0.748,Alzheimer's Disease
DRD4,GNB5,0.76,Alzheimer's Disease
DRD4,MAOB,0.785,Alzheimer's Disease
DRD4,DRD2,0.816,Alzheimer's Disease
DRD4,GNB3,0.837,Alzheimer's Disease
DRD4,MAOA,0.892,Alzheimer's Disease
DRD4,SLC6A4,0.978,Alzheimer's Disease
GNB3,DRD1,0.447,Alzheimer's Disease
GNB3,HTR2A,0.498,Alzheimer's Disease
GNB3,SRC,0.552,Alzheimer's Disease
GNB3,SLC6A4,0.587,Alzheimer's Disease
GNB3,ADORA2B,0.671,Alzheimer's Disease
GNB3,GNB4,0.726,Alzheimer's Disease
GNB3,GNB5,0.732,Alzheimer's Disease
GNB3,GNB2,0.739,Alzheimer's Disease
GNB3,GNAL,0.822,Alzheimer's Disease
GNB3,DRD2,0.827,Alzheimer's Disease
GNB3,HTR1A,0.832,Alzheimer's Disease
GNB3,CPX-8432,0.9,Alzheimer's Disease
GNB3,GNAS,0.982,Alzheimer's Disease
GNB4,SRC,0.58,Alzheimer's Disease
GNB4,ADORA2B,0.63,Alzheimer's Disease
GNB4,GNB5,0.724,Alzheimer's Disease
GNB4,GNB2,0.732,Alzheimer's Disease
GNB4,HTR1A,0.744,Alzheimer's Disease
GNB4,CPX-8432,0.791,Alzheimer's Disease
GNB4,DRD2,0.805,Alzheimer's Disease
GNB4,GNAL,0.864,Alzheimer's Disease
GNB4,GNAS,0.992,Alzheimer's Disease
CYP2C9,IDE,0.417,Alzheimer's Disease
CYP2C9,MAOB,0.454,Alzheimer's Disease
CYP2C9,MAOA,0.458,Alzheimer's Disease
CYP2C9,SLC6A4,0.628,Alzheimer's Disease
CYP2C9,CYP2C19,0.988,Alzheimer's Disease
